trial;start_time;rt;correct;fact_id;question;context_1;context_ 0;2;answer;chosen_context;encounter_2;reading_time;fogetting_rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;164051.0;3541.0;FALSE;6;uitnodigen;Ik wil je graag <b>uitnodigen</b> voor mijn verjaardag.;Ze <b>nodigen</b> elke kunstenaar uit voor de expositie.;invite;to invite;uitnodigen;FALSE;914.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;171415.0;2092.0;TRUE;7;vervelend;Ik vind het <b>vervelend</b> als de koffie op is.;Doe eens niet zo <b>vervelend</b>.;annoying;vervelend;FALSE;797.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;176820.0;1353.0;TRUE;6;uitnodigen;Ik wil je graag <b>uitnodigen</b> voor mijn verjaardag.;Ze <b>nodigen</b> elke kunstenaar uit voor de expositie.;invite;to invite;uitnodigen;FALSE;914.6;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;180614.0;1029.0;TRUE;7;vervelend;Ik vind het <b>vervelend</b> als de koffie op is.;Doe eens niet zo <b>vervelend</b>.;annoying;vervelend;FALSE;797.6;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;184278.0;15522.0;TRUE;5;woede;Ik probeer mijn <b>woede</b> te onderdrukken.;Ik vind <b>woede</b> moeilijk om mee om te gaan.;rage;anger;woede;FALSE;719.6;0.39921874999999996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;202077.0;3797.0;FALSE;8;matig;De burger smaakte een beetje <b>matig</b>.;Ik ben <b>matig</b> enthousiast over deze activiteit.;mediocre;matig;FALSE;661.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;208222.0;1810.0;TRUE;5;woede;Ik probeer mijn <b>woede</b> te onderdrukken.;Ik vind <b>woede</b> moeilijk om mee om te gaan.;rage;anger;woede;FALSE;719.6;0.398828125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;212390.0;1429.0;TRUE;8;matig;De burger smaakte een beetje <b>matig</b>.;Ik ben <b>matig</b> enthousiast over deze activiteit.;mediocre;matig;FALSE;661.1;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;216581.0;3666.0;FALSE;9;algemeen;Dat is niet <b>algemeen</b> bekend.;Over het <b>algemeen</b> ben ik hier heel goed in.;general;algemeen;FALSE;524.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;222706.0;1081.0;TRUE;1;vergeten;Ben je nou alweer je sleutel <b>vergeten</b>?;Sorry,we waren <b>vergeten</b> de wiki aan te passen.;forget;to forget;forgot;vergeten;FALSE;719.6;0.200390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
